Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
11-Pattern B,7,0.033,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern C,1,0.045,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern C,3,0.042,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern C,5,0.037,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern C,7,0.034,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern D,1,0.045,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern D,3,0.041,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern D,5,0.036,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern D,7,0.033,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
12-2D+DLS,21,49.58,9.0,1.0,-1.0,-1.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,3.0,8.0,,,,0,6.0,2.0,11.25,1.3
12-3D+DLS,21,80.392,9.0,1.0,-1.0,-1.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,3.1,8.0,,,,0,6.0,2.0,11.25,1.3
13-Monoculture,1,580.38,10.0,0.8,-1.0,-1.0,13.0,5.9,-1.0,-1.0,10.1,,0.08,,462.0,2.5,5.0,,,,0,5.0,1.0,4.0,1.0
13-Monoculture,5,369.937,10.0,0.8,-1.0,-1.0,13.0,5.9,-1.0,-1.0,10.1,,0.08,,462.0,2.5,5.0,,,,0,5.0,1.0,4.0,1.0
13-Monoculture,9,279.114,10.0,0.8,-1.0,-1.0,13.0,5.9,-1.0,-1.0,10.1,,0.08,,462.0,2.5,5.0,,,,0,5.0,1.0,4.0,1.0
