Feature,Day,Albumin,Cell,Coat,Cell Seeding,Co-Cell Seeding
scaffold-1,53,,8.0,1.3,1.0,-1.0
scaffold-1,54,,8.0,1.3,1.0,-1.0
scaffold-1,55,,8.0,1.3,1.0,-1.0
scaffold-1,56,,8.0,1.3,1.0,-1.0
scaffold-1,57,,8.0,1.3,1.0,-1.0
scaffold-1,58,,8.0,1.3,1.0,-1.0
scaffold-1,59,,8.0,1.3,1.0,-1.0
scaffold-1,60,,8.0,1.3,1.0,-1.0
scaffold-2,5,,8.0,-1.0,40.0,-1.0
scaffold-2,6,,8.0,-1.0,40.0,-1.0
scaffold-2,7,,8.0,-1.0,40.0,-1.0
scaffold-2,8,,8.0,-1.0,40.0,-1.0
scaffold-2,9,,8.0,-1.0,40.0,-1.0
scaffold-2,10,,8.0,-1.0,40.0,-1.0
scaffold-2,11,,8.0,-1.0,40.0,-1.0
scaffold-2,12,,8.0,-1.0,40.0,-1.0
scaffold-2,13,,8.0,-1.0,40.0,-1.0
scaffold-2,14,,8.0,-1.0,40.0,-1.0
scaffold-2,15,,8.0,-1.0,40.0,-1.0
scaffold-2,16,,8.0,-1.0,40.0,-1.0
scaffold-2,17,,8.0,-1.0,40.0,-1.0
scaffold-2,18,,8.0,-1.0,40.0,-1.0
scaffold-2,19,,8.0,-1.0,40.0,-1.0
scaffold-2,20,,8.0,-1.0,40.0,-1.0
scaffold-2,21,,8.0,-1.0,40.0,-1.0
scaffold-2,22,,8.0,-1.0,40.0,-1.0
scaffold-2,23,,8.0,-1.0,40.0,-1.0
scaffold-2,24,,8.0,-1.0,40.0,-1.0
scaffold-2,25,,8.0,-1.0,40.0,-1.0
scaffold-2,26,,8.0,-1.0,40.0,-1.0
scaffold-2,27,,8.0,-1.0,40.0,-1.0
scaffold-2,28,,8.0,-1.0,40.0,-1.0
scaffold-2,29,,8.0,-1.0,40.0,-1.0
scaffold-2,30,,8.0,-1.0,40.0,-1.0
scaffold-2,31,,8.0,-1.0,40.0,-1.0
scaffold-2,32,,8.0,-1.0,40.0,-1.0
scaffold-2,33,,8.0,-1.0,40.0,-1.0
scaffold-2,34,,8.0,-1.0,40.0,-1.0
scaffold-2,35,,8.0,-1.0,40.0,-1.0
scaffold-2,36,,8.0,-1.0,40.0,-1.0
scaffold-2,37,,8.0,-1.0,40.0,-1.0
scaffold-2,38,,8.0,-1.0,40.0,-1.0
scaffold-2,39,,8.0,-1.0,40.0,-1.0
scaffold-2,40,,8.0,-1.0,40.0,-1.0
scaffold-2,41,,8.0,-1.0,40.0,-1.0
