Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
13-100,10,25.763,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,100.0,0.2,-1.0,1.0,-1
13-100,15,20.339,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,100.0,0.2,-1.0,1.0,-1
14-Static,2,6.027,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.0,,2.0,1.0,-1
14-Static,4,9.041,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.0,,,1.0,-1
14-Static,6,8.219,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.0,,,1.0,-1
14-Static,8,7.945,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.0,,,1.0,-1
14-Static,10,7.123,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.0,,,1.0,-1
14-Static,12,4.384,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.0,,,1.0,-1
14-Static,14,3.014,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.0,,,1.0,-1
14-Flow,2,7.123,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.083,,,1.0,-1
14-Flow,4,15.89,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.083,,,1.0,-1
14-Flow,6,38.63,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.083,,,1.0,-1
14-Flow,8,53.973,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.083,,,1.0,-1
14-Flow,10,60.274,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.083,,,1.0,-1
14-Flow,12,50.411,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.083,,,1.0,-1
14-Flow,14,41.918,10.0,10.0,-1.0,5.0,0.1,-1.0,-1,-1,-1,,2.0,2,1,3.0,-1.0,-1,-1,,0.083,,,1.0,-1
15-Zone1,2,78.324,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.25,6.0,1.0,1.0,-1
15-Zone1,4,54.0,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.25,6.0,1.0,1.0,-1
15-Zone1,6,72.0,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.25,6.0,1.0,1.0,-1
15-Zone1,8,59.838,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.25,6.0,1.0,1.0,-1
15-Zone1,10,38.432,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.25,6.0,1.0,1.0,-1
