Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Spheroid-Dia,Tethered,Tethered Film,Modification,Flow Rate,Self-assembled
13-5C,4,,8,0.015,-1,,2,-1,4,0,1
13-5C,5,,8,0.015,-1,,2,-1,4,0,1
13-5C,6,,8,0.015,-1,,2,-1,4,0,1
13-5C,7,,8,0.015,-1,,2,-1,4,0,1
13-5C,8,,8,0.015,-1,,2,-1,4,0,1
13-5C,10,,8,0.015,-1,,2,-1,4,0,1
13-5C,11,,8,0.015,-1,,2,-1,4,0,1
13-5C,13,,8,0.015,-1,,2,-1,4,0,1
13-5C,14,,8,0.015,-1,,2,-1,4,0,1
13-5C,16,,8,0.015,-1,,2,-1,4,0,1
13-5C,17,,8,0.015,-1,,2,-1,4,0,1
13-5C,19,,8,0.015,-1,,2,-1,4,0,1
13-5C,20,,8,0.015,-1,,2,-1,4,0,1
13-5C,21,,8,0.015,-1,,2,-1,4,0,1
13-5C,23,,8,0.015,-1,,2,-1,4,0,1
13-5C,24,,8,0.015,-1,,2,-1,4,0,1
13-5C,26,,8,0.015,-1,,2,-1,4,0,1
13-5C,27,,8,0.015,-1,,2,-1,4,0,1
13-5C,28,,8,0.015,-1,,2,-1,4,0,1
13-3D,1,,8,0.015,-1,,2,-1,-1,0,1
13-3D,2,,8,0.015,-1,,2,-1,-1,0,1
13-3D,3,,8,0.015,-1,,2,-1,-1,0,1
13-3D,4,,8,0.015,-1,,2,-1,-1,0,1
13-3D,5,,8,0.015,-1,,2,-1,-1,0,1
13-3D,6,,8,0.015,-1,,2,-1,-1,0,1
13-3D,7,,8,0.015,-1,,2,-1,-1,0,1
13-3D,8,,8,0.015,-1,,2,-1,-1,0,1
13-3D,10,,8,0.015,-1,,2,-1,-1,0,1
13-3D,11,,8,0.015,-1,,2,-1,-1,0,1
13-3D,13,,8,0.015,-1,,2,-1,-1,0,1
13-3D,14,,8,0.015,-1,,2,-1,-1,0,1
13-3D,16,,8,0.015,-1,,2,-1,-1,0,1
13-3D,17,,8,0.015,-1,,2,-1,-1,0,1
13-3D,19,,8,0.015,-1,,2,-1,-1,0,1
13-3D,20,,8,0.015,-1,,2,-1,-1,0,1
13-3D,21,,8,0.015,-1,,2,-1,-1,0,1
13-3D,23,,8,0.015,-1,,2,-1,-1,0,1
13-3D,24,,8,0.015,-1,,2,-1,-1,0,1
13-3D,26,,8,0.015,-1,,2,-1,-1,0,1
13-3D,27,,8,0.015,-1,,2,-1,-1,0,1
13-3D,28,,8,0.015,-1,,2,-1,-1,0,1
c5-static co,1,,8.24,1,0.25,150,2,-1,-1,0,1
c5-static co,2,,8.24,1,0.25,150,2,-1,-1,0,1
c5-static co,4,,8.24,1,0.25,150,2,-1,-1,0,1
c5-static co,5,,8.24,1,0.25,150,2,-1,-1,0,1
c5-static co,6,,8.24,1,0.25,150,2,-1,-1,0,1
c17-spheroid,1,,10,0.1,-1,,1,3,3.9,0,1
c17-spheroid,3,,10,0.1,-1,,1,3,3.9,0,1
c17-spheroid,5,,10,0.1,-1,,1,3,3.9,0,1
c17-spheroid,7,,10,0.1,-1,,1,3,3.9,0,1
c17-spheroid,9,,10,0.1,-1,,1,3,3.9,0,1
c17-spheroid,10,,10,0.1,-1,,1,3,3.9,0,1
c17-spheroid,11,,10,0.1,-1,,1,3,3.9,0,1
c17-spheroid,13,,10,0.1,-1,,1,3,3.9,0,1
