Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
5-PET-Gal,3,0.399,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gal,6,0.613,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gal,9,0.867,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gal,12,0.848,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gal,15,0.864,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gel,3,0.397,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698.0,0,,,,
5-PET-Gel,6,0.588,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698.0,0,,,,
5-PET-Gel,9,0.594,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698.0,0,,,,
5-PET-Gel,12,0.55,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698.0,0,,,,
5-PET-Gel,15,0.471,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698.0,0,,,,
6-MePS,1,2.348,8.0,0.7,-1.0,-1.0,14.0,,-1.0,-1.0,1.0,0.008,-1.0,,0.142,1.3,6.9,16.0,,310.0,164,8.0,1.0,1.0,750.0
6-MePS,3,5.655,8.0,0.7,-1.0,-1.0,14.0,,-1.0,-1.0,1.0,0.008,-1.0,,0.142,1.3,6.9,16.0,,310.0,164,8.0,1.0,1.0,750.0
