Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Spheroid-Dia,Tethered,Tethered Film,Modification,Flow Rate,Self-assembled
2-spheroid,15,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,16,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,17,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,19,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,20,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,22,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,23,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,25,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,26,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,28,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,29,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,30,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,31,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,32,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,33,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,34,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,35,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,36,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,37,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,38,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,39,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,40,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,41,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,42,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,43,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,44,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,45,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,46,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,47,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,48,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,49,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,50,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,51,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,52,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,53,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,54,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,55,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,56,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,57,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,58,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,59,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,60,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-bioreactor,1,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,2,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,3,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,4,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,5,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,6,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,7,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,8,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,9,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,10,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,11,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,12,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,13,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,14,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,15,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,16,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,17,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,19,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,20,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,28,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,29,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,30,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,31,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,32,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,33,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,34,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,35,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,36,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,37,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,38,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,39,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,40,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,41,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,42,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,43,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,44,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,45,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,46,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,47,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,48,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,49,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,50,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,51,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,52,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,53,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,54,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,55,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,56,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,57,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,58,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,59,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,60,,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
3-MPCC,1,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,2,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,4,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,5,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,6,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,7,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,8,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,9,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,10,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,11,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,12,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,13,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,14,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,16,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,17,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,18,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,19,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,20,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,21,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,22,,6.21,0.1,0.3,,2,-1,-1.0,0,1
