Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Design,Desi-para1,Desi-para2,Desi-para3
11-F7/3,3,49.574,8,4,-1,-1,10.11,7,3,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F7/3,5,46.578,8,4,-1,-1,10.11,7,3,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F7/3,7,38.341,8,4,-1,-1,10.11,7,3,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F9/1,1,57.811,8,4,-1,-1,10.11,9,1,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F9/1,3,47.028,8,4,-1,-1,10.11,9,1,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F9/1,5,44.781,8,4,-1,-1,10.11,9,1,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F9/1,7,36.843,8,4,-1,-1,10.11,9,1,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Direct,1,0.049,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Direct,3,0.034,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Direct,5,0.023,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Direct,7,0.016,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C Culture,1,0.054,8,4,-1,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C Culture,3,0.048,8,4,-1,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C Culture,5,0.04,8,4,-1,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C Culture,7,0.035,8,4,-1,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern A,1,0.062,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern A,3,0.054,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern A,5,0.053,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern A,7,0.048,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern B,1,0.061,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern B,3,0.054,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern B,5,0.053,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern B,7,0.048,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C,1,0.059,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C,3,0.056,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C,5,0.055,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C,7,0.051,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern D,1,0.056,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern D,3,0.053,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern D,5,0.053,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern D,7,0.047,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
12-2D+DLS,21,7.887,9,1,-1,-1,18,-1,-1,-1,-1,-1,-1,,,3,8,,,,0,6,2,11.25,1.3
12-3D+DLS,21,16.127,9,1,-1,-1,18,-1,-1,-1,-1,-1,-1,,,3.1,8,,,,0,6,2,11.25,1.3
13-Monoculture,5,4.895,10,0.8,-1,-1,13,5.9,-1,-1,10.1,,0.08,,462,2.5,5,,,,0,5,1,4,1
13-Monoculture,9,3.132,10,0.8,-1,-1,13,5.9,-1,-1,10.1,,0.08,,462,2.5,5,,,,0,5,1,4,1
13-Monoculture,12,2.105,10,0.8,-1,-1,13,5.9,-1,-1,10.1,,0.08,,462,2.5,5,,,,0,5,1,4,1
13-Monoculture,15,1.026,10,0.8,-1,-1,13,5.9,-1,-1,10.1,,0.08,,462,2.5,5,,,,0,5,1,4,1
13-Coculture,5,5.184,10.11,0.8,0.1,-1,13,5.9,-1,-1,10.1,,0.08,,462,2.5,5,,,,0,5,1,4,1
13-Coculture,9,4.895,10.11,0.8,0.1,-1,13,5.9,-1,-1,10.1,,0.08,,462,2.5,5,,,,0,5,1,4,1
13-Coculture,12,6.132,10.11,0.8,0.1,-1,13,5.9,-1,-1,10.1,,0.08,,462,2.5,5,,,,0,5,1,4,1
