Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
12-Device,21,7.708,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,0.01,1,0.05,-1,1,-1
13-0,1,50.056,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,0,0.2,-1,1,-1
13-0,5,39.106,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,0,0.2,-1,1,-1
13-0,10,32.458,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,0,0.2,-1,1,-1
13-0,15,27.765,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,0,0.2,-1,1,-1
13-25,1,57.486,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,25,0.2,-1,1,-1
13-25,5,47.318,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,25,0.2,-1,1,-1
13-25,10,44.972,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,25,0.2,-1,1,-1
13-25,15,36.76,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,25,0.2,-1,1,-1
13-50,1,57.291,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,50,0.2,-1,1,-1
13-50,5,54.749,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,50,0.2,-1,1,-1
13-50,10,51.62,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,50,0.2,-1,1,-1
13-50,15,48.687,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,50,0.2,-1,1,-1
13-75,1,56.313,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,75,0.2,-1,1,-1
13-75,5,49.665,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,75,0.2,-1,1,-1
13-75,10,45.95,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,75,0.2,-1,1,-1
13-75,15,39.302,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,75,0.2,-1,1,-1
13-100,1,54.553,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,100,0.2,-1,1,-1
13-100,5,44.777,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,100,0.2,-1,1,-1
13-100,10,41.844,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,100,0.2,-1,1,-1
13-100,15,32.458,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,100,0.2,-1,1,-1
14-Static,2,9.965,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0,,2,1,-1
14-Static,4,14.118,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0,,,1,-1
14-Static,6,11.626,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0,,,1,-1
14-Static,8,14.118,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0,,,1,-1
14-Static,10,13.564,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0,,,1,-1
14-Static,12,10.519,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0,,,1,-1
14-Static,14,6.09,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0,,,1,-1
14-Flow,2,12.18,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0.083,,,1,-1
14-Flow,4,22.422,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0.083,,,1,-1
14-Flow,6,39.862,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0.083,,,1,-1
14-Flow,8,59.516,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0.083,,,1,-1
14-Flow,10,59.239,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0.083,,,1,-1
14-Flow,12,53.149,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0.083,,,1,-1
14-Flow,14,49.827,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0.083,,,1,-1
15-Zone1,2,16.771,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,6,1,1,-1
15-Zone1,4,55.417,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,6,1,1,-1
15-Zone1,6,66.719,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,6,1,1,-1
15-Zone1,8,66.719,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,6,1,1,-1
15-Zone1,10,63.802,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,6,1,1,-1
15-Zone1,12,50.313,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,6,1,1,-1
15-Zone1,14,42.656,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,6,1,1,-1
15-Zone3,2,8.75,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.083,6,1,1,-1
15-Zone3,4,23.698,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.083,6,1,1,-1
15-Zone3,6,27.708,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.083,6,1,1,-1
